Domain,Area,Element,Item,Year,Unit,Value
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,68
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,53
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,52
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,44
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,38
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,24
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,20
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,16
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,17
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,18
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,22
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,20
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,29
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,26
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,39
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,38
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,44
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,38
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,41
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,51
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,59
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,39
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,59
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,81
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,77
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,92
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,83
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,53
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,38
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,68
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,78
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,88
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,134
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,206
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,296
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,303
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,240
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,9
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,14
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,10
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,15
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,16
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,24
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,25
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,27
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,30
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,37
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,42
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,44
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,44
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,49
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,53
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,53
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,88
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,86
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,80
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,140
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,82
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,90
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,99
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,94
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,125
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,137
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,128
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,115
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,128
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,76
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,14
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,13
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,16
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,7
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,2
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,15
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,6
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,4
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,6
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,7
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,8
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,9
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,13
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,14
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,17
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,17
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,23
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,20
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,21
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,38
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,47
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,58
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,65
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,67
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,112
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,121
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,134
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,110
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,114
Trade Indices,Albania,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,120
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,358
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,391
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,268
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,310
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,254
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,243
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,168
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,188
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,286
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,315
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,159
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,161
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,248
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,156
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,120
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,116
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,118
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,101
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,61
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,49
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,49
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,32
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,17
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,23
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,33
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,10
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,11
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,8
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,17
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,7
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,14
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,8
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,8
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,3
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,10
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,11
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,4
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,4
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,3
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,4
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,4
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,5
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,7
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,16
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,18
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,18
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,7
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,9
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,18
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,18
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,76
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,73
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,102
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,105
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,87
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,108
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,120
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,71
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,141
Trade Indices,Algeria,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,145
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,1022
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,1101
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,838
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,932
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,1040
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,926
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,1091
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,1268
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,1319
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,1328
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,1171
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,1061
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,1309
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,1059
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,562
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,396
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,328
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,373
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,293
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,138
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,121
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,125
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,77
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,66
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,56
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,51
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,45
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,32
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,27
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,16
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,15
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,16
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,7
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,4
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,10
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,11
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,11
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,11
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,11
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,10
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,6
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,5
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,19
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,14
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,21
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,18
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,32
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,52
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,35
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,39
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,63
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,61
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,89
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,114
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,101
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,85
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,175
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,226
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,520
Trade Indices,Angola,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,337
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,16183
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,14704
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,21969
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,15720
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,8508
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,6215
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,3268
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,1344
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,3407
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,3669
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,9016
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,114
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,162
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,119
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,137
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,111
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,212
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,203
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,28
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,106
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,42
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,736
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,572
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,1063
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,981
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,736
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,736
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,36
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,88
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,672
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,7
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,93
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,26
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,106
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,240
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,403
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,94
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,301
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,173
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,125
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,110
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,226
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,157
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,1583
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,152
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,171
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,90
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,39
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,89
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,55
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,81
Trade Indices,Antigua and Barbuda,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,6492
Trade Indices,Argentina,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,8
Trade Indices,Argentina,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,13
Trade Indices,Argentina,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,11
Trade Indices,Argentina,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,15
